filename,width,height,class,xmin,ymin,xmax,ymax
B20190306xiangn_CRCD_DIA_b3_3_0_11+.jpg,270,240,feature7,155,40,165,235
B20190306xiangn_CRCD_DIA_b3_3_0_11.jpg,270,240,feature7,155,160,165,239
B20190306xiangn_CRCD_DIA_b3_3_0_12+.jpg,270,240,feature6,180,26,196,147
B20190306xiangn_CRCD_DIA_b3_3_0_12.jpg,270,240,feature6,180,146,196,239
B20190306xiangn_CRCD_DIA_b3_3_0_12.jpg,270,240,feature7,155,1,165,115
B20190306xiangn_CRCD_DIA_b3_3_0_16+.jpg,270,240,feature6,94,30,107,116
B20190306xiangn_CRCD_DIA_b3_3_0_16.jpg,270,240,feature6,94,150,107,236
B20190306xiangn_CRCD_DIA_b3_3_0_20+.jpg,270,240,feature6,137,101,153,239
B20190306xiangn_CRCD_DIA_b3_3_0_20+.jpg,270,240,feature5,162,68,182,177
B20190306xiangn_CRCD_DIA_b3_3_0_20.jpg,270,240,feature5,162,188,182,239
B20190306xiangn_CRCD_DIA_b3_3_0_21+.jpg,270,240,feature6,137,1,153,239
B20190306xiangn_CRCD_DIA_b3_3_0_21+.jpg,270,240,feature7,166,82,181,144
B20190306xiangn_CRCD_DIA_b3_3_0_21+.jpg,270,240,feature4,62,70,77,239
B20190306xiangn_CRCD_DIA_b3_3_0_21.jpg,270,240,feature6,137,1,153,239
B20190306xiangn_CRCD_DIA_b3_3_0_21.jpg,270,240,feature5,162,1,182,57
B20190306xiangn_CRCD_DIA_b3_3_0_21.jpg,270,240,feature4,62,190,77,239
B20190306xiangn_CRCD_DIA_b3_3_0_22+.jpg,270,240,feature6,137,1,153,239
B20190306xiangn_CRCD_DIA_b3_3_0_22+.jpg,270,240,feature4,62,1,77,104
B20190306xiangn_CRCD_DIA_b3_3_0_22.jpg,270,240,feature6,137,1,153,239
B20190306xiangn_CRCD_DIA_b3_3_0_22.jpg,270,240,feature4,62,1,77,224
B20190306xiangn_CRCD_DIA_b3_3_0_23+.jpg,270,240,feature6,137,1,153,60
B20190306xiangn_CRCD_DIA_b3_3_0_23.jpg,270,240,feature6,137,1,153,180
B20190306xiangn_CRCD_DIA_b3_3_0_34+.jpg,270,240,feature6,133,1,150,149
B20190306xiangn_CRCD_DIA_b3_3_0_34.jpg,270,240,feature6,133,116,150,239
B20190306xiangn_CRCD_DIA_b3_3_0_63+.jpg,270,240,feature5,137,66,177,141
B20190306xiangn_CRCD_DIA_b3_3_0_63.jpg,270,240,feature5,137,186,177,239
B20190306xiangn_CRCD_DIA_b3_3_10_10+.jpg,270,240,feature8,201,1,218,71
B20190306xiangn_CRCD_DIA_b3_3_10_10.jpg,270,240,feature8,201,77,218,191
B20190306xiangn_CRCD_DIA_b3_3_10_11+.jpg,270,240,feature7,202,67,222,130
B20190306xiangn_CRCD_DIA_b3_3_10_11.jpg,270,240,feature7,202,187,222,239
B20190306xiangn_CRCD_DIA_b3_3_10_14+.jpg,270,240,feature6,211,192,236,239
B20190306xiangn_CRCD_DIA_b3_3_10_14+.jpg,270,240,feature5,67,1,87,75
B20190306xiangn_CRCD_DIA_b3_3_10_14+.jpg,270,240,feature5,146,154,166,239
B20190306xiangn_CRCD_DIA_b3_3_10_14.jpg,270,240,feature5,67,112,87,195
B20190306xiangn_CRCD_DIA_b3_3_10_15+.jpg,270,240,feature6,211,1,236,78
B20190306xiangn_CRCD_DIA_b3_3_10_15+.jpg,270,240,feature6,1,1,26,117
B20190306xiangn_CRCD_DIA_b3_3_10_15+.jpg,270,240,feature6,101,48,126,135
B20190306xiangn_CRCD_DIA_b3_3_10_15.jpg,270,240,feature6,211,72,236,198
B20190306xiangn_CRCD_DIA_b3_3_10_15.jpg,270,240,feature6,1,73,26,237
B20190306xiangn_CRCD_DIA_b3_3_10_15.jpg,270,240,feature5,146,34,166,130
B20190306xiangn_CRCD_DIA_b3_3_10_15.jpg,270,240,feature6,101,168,126,239
B20190306xiangn_CRCD_DIA_b3_3_10_16+.jpg,270,240,feature7,19,61,39,204
B20190306xiangn_CRCD_DIA_b3_3_10_16+.jpg,270,240,feature7,136,62,166,119
B20190306xiangn_CRCD_DIA_b3_3_10_16.jpg,270,240,feature7,19,181,39,239
B20190306xiangn_CRCD_DIA_b3_3_10_16.jpg,270,240,feature7,136,182,166,239
B20190306xiangn_CRCD_DIA_b3_3_10_17+.jpg,270,240,feature4,101,103,116,160
B20190306xiangn_CRCD_DIA_b3_3_10_17.jpg,270,240,feature7,19,1,39,84
